,name,handedness,height,weight,avg,HR,weight_height
0,Tom Brown,R,73,170,0,0,0.819047619
1,Ozzie Osborn,R,74,195,0,0,1.123809524
2,John LaRose,L,73,185,0,0,0.961904762
3,Jeff Byrd,R,75,195,0,0,1.19047619
4,Jerry Kutzler,L,73,175,0,0,0.866666667
5,Jeff Barkley,B,75,185,0,0,1.095238095
6,Eric Wilkins,R,73,190,0,0,1.00952381
7,Britt Burns,L,77,215,0,0,1.514285714
8,Nardi Contreras,B,74,193,0,0,1.104761905
9,Gil Patterson,R,73,185,0,0,0.961904762
10,Jerry Garvin,L,75,195,0,0,1.19047619
11,Steve Eddy,R,74,185,0,0,1.028571429
12,Kevin Mmahat,L,77,220,0,0,1.561904762
13,Jim Siwy,R,76,200,0,0,1.304761905
14,Bud Anderson,R,75,210,0,0,1.333333333
15,Kevin Stanfield,L,72,190,0,0,0.942857143
16,John Butcher,R,76,185,0,0,1.161904762
17,Jerry Ujdur,R,73,195,0,0,1.057142857
18,Brian Denman,R,76,205,0,0,1.352380952
19,Bob Fallon,L,75,200,0,0,1.238095238
20,Steve Curry,R,78,217,0,0,1.6
21,Ray Chadwick,B,74,180,0,0,0.980952381
22,Bryan Clutterbuck,R,76,223,0,0,1.523809524
23,Tony Ferreira,L,73,160,0,0,0.723809524
24,Bryan Oelkers,L,75,192,0,0,1.161904762
25,Kevin Bearse,L,74,195,0,0,1.123809524
26,Jose Roman,R,72,175,0,0,0.8
27,Mike Trujillo,R,73,180,0,0,0.914285714
28,Albert Williams,R,76,190,0,0,1.20952381
29,Oswaldo Peraza,R,76,172,0,0,1.038095238
30,Barry Cort,R,77,210,0,0,1.466666667
31,Bill Wilkinson,R,70,160,0,0,0.523809524
32,Mike Loynd,R,76,210,0,0,1.4
33,Randy Scarbery,B,73,185,0,0,0.961904762
34,Ben Callahan,R,79,230,0,0,1.79047619
35,Bobby Cuellar,R,71,188,0,0,0.857142857
36,Mike Jones,L,78,215,0,0,1.580952381
37,Ramon Manon,R,72,150,0,0,0.561904762
38,John Trautwein,R,75,205,0,0,1.285714286
39,Andy Replogle,R,77,205,0,0,1.419047619
40,Zach Crouch,L,75,180,0,0,1.047619048
41,Ron Romanick,R,76,195,0,0,1.257142857
42,Bruce Tanner,L,75,220,0,0,1.428571429
43,Dave Ford,R,76,190,0,0,1.20952381
44,Barry Raziano,B,70,175,0,0,0.666666667
45,Pat Underwood,L,72,175,0,0,0.8
46,Joel McKeon,L,72,185,0,0,0.895238095
47,Danny Fife,R,75,175,0,0,1
48,Andy Beene,R,75,205,0,0,1.285714286
49,Bruce Robbins,L,73,190,0,0,1.00952381
50,Leon Hooten,R,71,180,0,0,0.780952381
51,Allan Ramirez,R,70,180,0,0,0.714285714
52,Brian Allard,R,73,175,0,0,0.866666667
53,Fernando Arroyo,R,74,180,0,0,0.980952381
54,Gary Beare,R,76,205,0,0,1.352380952
55,Brian Dubois,L,70,165,0,0,0.571428571
56,Chris Batton,R,76,195,0,0,1.257142857
57,Vance Lovelace,L,77,205,0,0,1.419047619
58,Greg Thayer,R,71,182,0,0,0.8
59,Paul Hartzell,R,77,200,0,0,1.371428571
60,Ralph Botting,L,72,195,0,0,0.99047619
61,Keith Creel,R,74,180,0,0,0.980952381
62,Mike Smith,R,75,180,0,0,1.047619048
63,T.R. Bryden,R,76,190,0,0,1.20952381
64,Tom Makowski,R,71,185,0,0,0.828571429
65,Jim Umbarger,L,78,200,0,0,1.438095238
66,Mike Darr,R,76,190,0,0,1.20952381
67,Curt Wardle,L,77,220,0,0,1.561904762
68,Israel Sanchez,L,69,170,0,0,0.552380952
69,Steve Burke,B,74,200,0,0,1.171428571
70,Terry Taylor,R,73,180,0,0,0.914285714
71,Randy Nosek,R,76,215,0,0,1.447619048
72,Narciso Elvira,L,70,160,0,0,0.523809524
73,Mark Smith,R,74,215,0,0,1.314285714
74,Paul Mitchell,R,73,195,0,0,1.057142857
75,Butch Edge,R,75,203,0,0,1.266666667
76,Gary Mielke,R,75,185,0,0,1.095238095
77,Rick Henninger,R,78,225,0,0,1.676190476
78,Mark Brown,B,74,190,0,0,1.076190476
79,Rafael Vasquez,R,72,160,0,0,0.657142857
80,Len Whitehouse,L,71,175,0,0,0.733333333
81,Steve Adkins,R,78,210,0,0,1.533333333
82,Tony Mack,R,70,177,0,0,0.685714286
83,Bill Moran,R,76,210,0,0,1.4
84,Tom Gilles,R,73,185,0,0,0.961904762
85,Bob Kammeyer,R,76,210,0,0,1.4
86,Joe Pactwa,L,71,185,0,0,0.828571429
